,expression,reading,meaning
620,前,まえ,"before, in front"
621,～前,～まえ,in front of ~
622,曲る,まがる,"to turn, to bend"
623,まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)"
624,また,また,and; furthermore
625,まだ,まだ,"yet, still, besides"
626,町,まち,town; city
627,待つ,まつ,to wait
628,まっすぐ,まっすぐ,"straight (ahead), direct"
629,マッチ,マッチ,match
630,窓,まど,window
631,丸い; 円い,まるい,"round, circular"
632,万,まん,ten thousand
633,万年筆,まんねんひつ,fountain pen
634,磨く,みがく,to brush (teeth); to polish
635,右,みぎ,right hand side
636,短い,みじかい,short (length)
637,水,みず,water
638,店,みせ,"store, shop"
639,見せる,みせる,"to show, to display"
640,道,みち,"road, street; way, directions"
641,三日,みっか,"three days, third day of the month"
642,三つ,みっつ,three things
643,緑,みどり,green
644,皆さん,みなさん,"all of you, everyone"
645,南,みなみ,South
646,耳,みみ,ear
647,見る,みる,"to see, to look"
648,みんな,みんな,"all, everyone, everybody"
649,六日,むいか,six days; sixth day of month
650,向こう,むこう,"beyond, over there"
651,難しい,むずかしい,difficult
652,六つ,むっつ,six things
653,村,むら,village
654,目,め,eye(s)
655,メートル,メートル,meter
656,眼鏡,めがね,eye glasses
657,もう,もう,already; again; more
658,木曜日,もくようび,Thursday
659,もしもし,もしもし,Hello? (used on the phone)
660,持つ,もつ,"to hold, to carry; to possess"
661,もっと,もっと,more
662,物,もの,thing (concrete object)
663,門,もん,gate
664,問題,もんだい,a problem
665,～屋,～や,~ shop
666,八百屋,やおや,greengrocer
667,野菜,やさい,vegetable
668,易しい,やさしい,"easy, plain, simple"
669,安い,やすい,inexpensive; cheap (things)
670,休み,やすみ,holiday; day off; absence
671,休む,やすむ,"to rest, to have a break, to get time off"
672,八つ,やっつ,eight things
673,山,やま,mountain
674,やる,やる,"to do; to give (to pets, parents, siblings, etc.)"
675,夕方,ゆうがた,"late afternoon (typically just before dinner time), evening"
676,夕飯,ゆうはん,"dinner, supper, evening meal"
677,郵便局,ゆうびんきょく,post office
678,昨夜,ゆうべ,last night
679,有名,ゆうめい,famous
680,雪,ゆき,snow
681,ゆっくりと,ゆっくりと,"slowly, at ease"
682,八日,ようか,eight days; eighth day of the month
683,洋服,ようふく,Western-style clothes
684,よく,よく,"frequently, often (much); well, skillfully"
685,横,よこ,beside; side; width
686,四日,よっか,four days; fourth day of the month
687,四つ,よっつ,four things
688,呼ぶ,よぶ,to call (one's name); to invite
689,読む,よむ,to read
690,夜,よる,"evening, night"
691,弱い,よわい,weak
692,来月,らいげつ,next month
693,来週,らいしゅう,next week
694,来年,らいねん,next year
695,ラジオ,ラジオ,radio
696,ラジオカセ,ラジオカセ,radio cassette player
697,りっぱ,りっぱ,"splendid, fine"
698,留学生,りゅうがくせい,international student
699,両親,りょうしん,"parents (lit., both parents)"
700,料理,りょうり,cooking; cuisine
701,旅行,りょこう,"travel, trip"
702,零,れい,"zero, nought"
703,冷蔵庫,れいぞうこ,refrigerator
704,レコード,レコード,record
705,レストラン,レストラン,restaurant
706,練習,れんしゅう (する),(to) practice
707,廊下,ろうか,corridor
708,六,ろく,six
709,ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt"
710,若い,わかい,young
711,分かる,わかる,to understand
712,忘れる,わすれる,to forget
713,私,わたし,"I, myself"
714,私,わたくし,"I (formal), myself, private affairs"
715,渡す,わたす,to hand (something) over (v.t.); to get across
716,渡る,わたる,"to cross over, to go across"
717,悪い,わるい,"bad, sinful; inferior"
